LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPerfect,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range,domainArticle,domainWrittenSingular,domainWrittenPlural,rangeArticle,rangeWrittenSingular,rangeWrittenPlural,
take_place_on,verb,avere luogo,ha luogo,ha avuto luogo,ha avuto luogo,nel,IntransitivePPFrame,domain,range,1,dbp:date,dbo:MilitaryConflict,xsd:date,masculine_il,conflitto,conflitti,masculine_l,anno,anni,
commence_on,verb,iniziare,inizia,è iniziato,è iniziato,nel,IntransitivePPFrame,domain,range,1,dbo:date,dbo:Event,xsd:date,masculine_l,evento,eventi,masculine_l,anno,anni,
end_in,verb,termina,termina,termina,termina,in,IntransitivePPFrame,domain,range,1,dbo:routeEnd,dbo:Road,dbo:City,feminine_la,strada,strade,feminine_la,città,città,
flow_through_1,verb,scorrere,scorre,scorreva,scorreva,attraverso,IntransitivePPFrame,domain,range,1,dbo:city,dbo:River,dbo:Place,masculine_il,fiume,fiumi,feminine_la,città,città,
flow_through_2,verb,scorrere,scorre,scorreva,scorreva,attraverso,IntransitivePPFrame,domain,range,1,dbp:country,dbo:BodyOfWater,dbo:Place,masculine_il,fiume,fiumi,masculine_il,paese,paesi,
start_in_1,verb,iniziare,inizia,ha inizio,ha inizio,in,IntransitivePPFrame,range,domain,1,dbo:routeStart,dbo:Road,dbo:Road,feminine_la,strada,strade,feminine_la,strada,strade,
start_in_2,verb,nascere,nasce,è nato,è nato,in,IntransitivePPFrame,domain,range,1,dbp:mouthLocation,dbo:River,dbo:Place,masculine_il,fiume,fiumi,masculine_lo,stato,stato,
grow_in_1,verb,crescere,cresce,cresceva,cresceva,in,IntransitivePPFrame,domain,range,1,dbo:growingGrape,dbo:WineRegion,dbo:Grape,feminine_la,regione del vino,regioni del vino,masculine_il,tipo di uva,tipi di uva,
die_from,verb,morire,muore,è morto,è morto,di,IntransitivePPFrame,domain,range,1,dbo:deathCause,dbo:Person,xsd:string,feminine_la,persona,persone,-,-,-,
dissolve_on,verb,sciogliere,scioglie,è sciolta,è sciolta,nel,IntransitivePPFrame,domain,range,1,dbo:dissolutionDate,dbo:PopulatedPlace,xsd:date,masculine_il,luogo popolato,luoghi popolati,masculine_l,anno,anni,
dissolve_in,verb,sciogliere,scioglie,è sciolta,è sciolta,nel,IntransitivePPFrame,domain,range,1,dbo:dissolutionDate,dbo:PopulatedPlace,xsd:gYear,masculine_il,luogo popolato,luoghi popolati,masculine_l,anno,anni,
complete_in_1,verb,essere completato,è completato,è stato completato,è stato completato,nel,IntransitivePPFrame,domain,range,1,dbo:completionDate,dbo:Ship,xsd:date,feminine_la,nave,navi,masculine_l,anno,anni,
bury_in,verb,seppellire,seppellisce,è sepolto,è sepolto,a,IntransitivePPFrame,domain,range,1,dbo:restingPlace,dbo:Person,dbo:Place,feminine_la,persona,persone,masculine_il,luogo,luoghi,
born_in_person_1,verb,nascere,nasce,nato,nato,a,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Person,dbo:Place,feminine_la,persona,persone,masculine_il,luogo,luoghi,
born_in_actor,verb,nascere,nasce,è nato,è nato,a,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Actor,dbo:Place,masculine_l,attore,attore,masculine_il,luogo,luoghi,
born_in_surfer,verb,nascere,nasce,sono nati,sono nati,a,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Surfing,dbo:Place,masculine_il,surfisti,surfisti,masculine_il,luogo,luoghi,
born_in,verb,nascere,nasce,nato,nato,nel,IntransitivePPFrame,domain,range,1,dbo:birthYear,dbo:Person,xsd:gYear,feminine_la,persona,persone,masculine_l,anno,anni,
dieIn_1,verb,morire,muore,morto,morto,a,IntransitivePPFrame,domain,range,1,dbo:deathPlace,dbo:Person,dbo:Place,feminine_la,persona,persone,feminine_la,città,città,
dieIn_2,verb,morire,muore,morto,morto,a,IntransitivePPFrame,domain,range,1,dbo:deathPlace,dbo:Person,dbo:Place,feminine_la,persona,persone,masculine_lo,stato,stati,
live_in_1,verb,vivere,vive,ha vissuto,ha vissuto,a,IntransitivePPFrame,domain,range,1,dbo:residence,dbo:Person,dbo:City,feminine_la,persona,persone,feminine_la,città,città,
live_in_2,verb,vivere,vive,ha vissuto,ha vissuto,a,IntransitivePPFrame,domain,range,1,dbo:residence,dbo:Single,dbo:City,feminine_la,persona,persone,feminine_la,città,città,
founded_in,verb,fondare,fonda,è stata fondata,è stata fondata,nel,IntransitivePPFrame,domain,range,1,dbo:foundingYear,dbo:Organisation,xsd:gYear,feminine_l,organizzazione,organizzazioni,masculine_l,anno,anni,
die_on,verb,morire,muore,è morto,è morto,nel,IntransitivePPFrame,domain,range,1,dbo:deathDate,dbo:Person,xsd:gYear,feminine_la,persona,persone,masculine_l,anno,anni,
locate_in_1,verb,trovarsi,si trova,si trovava,si trovava,in,IntransitivePPFrame,domain,range,1,dbo:location,dbo:Location,dbo:Place,masculine_il,luogo,luoghi,masculine_il,luogo,luoghi,
locate_in_2,verb,trovarsi,si trova,si trovava,si trovava,in,IntransitivePPFrame,domain,range,1,dbp:location,dbo:MilitaryUnit,dbo:Location,feminine_l,unità militare,unità militare,masculine_il,luogo,luoghi,
locate_in_3,verb,trovarsi,si trova,si trovava,si trovava,in,IntransitivePPFrame,domain,range,1,dbo:location,dbo:HistoricPlace,dbo:Place,masculine_il,posto storico,posto storico,feminine_la,città,città,
locate_in_4,verb,trovarsi,si trova,si trovava,si trovava,in,IntransitivePPFrame,domain,range,1,dbo:country,dbo:City,dbo:Country,masculine_il,posto storico,posto storico,masculine_lo,stato,stati,
locate_in_5,verb,trovarsi,si trova,si trovava,si trovava,in,IntransitivePPFrame,domain,range,1,dbo:country,dbo:Lake,dbo:Country,masculine_il,lago,lago,masculine_lo,stato,stati,
locate_in_6,verb,trovarsi,si trova,si trovava,si trovava,in,IntransitivePPFrame,domain,range,1,dbo:locatedInArea,dbo:Mountain,dbo:Country,feminine_la,montagna,montagna,masculine_lo,stato,stati,
locate_in_8,verb,trova,trova,trova,trova,in,IntransitivePPFrame,domain,range,1,dbo:location,dbo:ArchitecturalStructure,dbo:City,feminine_la,lago,lagos,feminine_la,città,città,
writeIn,verb,scrivere,scrive,ha scritto,è stato scritto,in,IntransitivePPFrame,domain,range,1,dbo:programmingLanguage,dbo:Software,dbo:Language,masculine_il,software,software,masculine_il,linguaggio di programmazione,linguaggi di programmazione,
live_in,verb,persone vivere,persone vivono,persone vivevano,persone vivevano,in,IntransitivePPFrame,domain,range,1,dbo:populationTotal,dbo:Country,xsd:double,masculine_il,stato,stato,-,-,-,rdfs:label not match
cost,verb,costare,costa,è costato,è costato,X,IntransitivePPFrame,domain,range,1,dbo:budget,dbo:Film,dbo:Double,masculine_il,film,film,-,-,-,
participate_in,verb,partecipare,partecipa,ha partecipato,ha partecipato,a,IntransitivePPFrame,domain,range,1,dbo:battle,dbo:Person,dbo:MilitaryConflict,feminine_la,persona,persone,masculine_il,conflitti militari,conflitti militari,
abrevia,verb,significa,significa,significa,significa,X,IntransitivePPFrame,range,domain,1,dbo:abbreviation,owl:Thing,xsd:string,-,-,-,-,-,-,
speak_in,verb,parlare,parla,ha parlato,è parlato,in,IntransitivePPFrame,range,domain,1,dbo:language,dbo:Country,dbo:Language,feminine_la,stato,stato,feminine_la,Lingua,Lingua,
take_place_on,verb,avere luogo,ha luogo,ha avuto luogo,,in,IntransitivePPFrame,domain,range,1,dbp:date,dbo:MilitaryConflict,xsd:date,,conflitto,conflitti,,anno,anni,
commence_on,verb,iniziare,inizia,è iniziato,,in,IntransitivePPFrame,domain,range,1,dbo:date,dbo:Event,xsd:date,,evento,eventi,,anno,anni,
