LemonEntry,partOfSpeech,gender,writtenFormNominative(singular),writtenFormNominative (plural),writtenFormSingular (accusative),writtenFormSingular (dative),writtenFormSingular (genetive),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,domain_article,domain_written_singular,domain_written_plural,rangeArticle,range_written_singular,range_written_plural,question_1,sparql_1,question_2,sparql_2,question_3,sparql_3,question_4,sparql_4,question_5,sparql_5,comment,,,,,,,,,,,
Hauptstadt_von,noun,feminine,Hauptstadt,-,Hauptstadt,Hauptstadt,Hauptstadt,von,NounPPFrame,range,domain,1,dbo:capital,dbo:Country,dbo:City,neuter,Land,Länder,feminine,Stadt,-,"Was (dbo:City, X) ist die Hauptstadt von (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:capital ?X.},"Welche (dbo:City, X) ist die Hauptstadt von (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:capital ?X.},FALSE,FALSE,"Gib mir die (dbo:City, X) Hauptstadt von (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:capital ?X.},"die Hauptstadt von (dbo:Country,Y) ",SELECT ?X WHERE { Y dbo:capital ?X.},,,,,,,,,,,,
Bürgermeister_von_1,noun,masculine,Bürgermeister,-,Bürgermeister,Bürgermeister,Bürgermeisters,von,NounPPFrame,range,domain,1,dbo:mayor,dbo:City,dbo:Person,feminine,Stadt,Städte,feminine,Person,Personen,"Was (dbo:Person, X) ist die Bürgermeister von (dbo:City,Y?) ",SELECT ?X WHERE { Y dbo:mayor ?X.},"Welche (dbo:Person, X) ist die Bürgermeister von (dbo:City,Y?) ",SELECT ?X WHERE { Y dbo:mayor ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Bürgermeister von (dbo:City,Y?) (X dbo:mayor Y)",SELECT ?X WHERE { Y dbo:mayor ?X.},"Gib mir die (dbo:Person, X) Bürgermeister von (dbo:City,Y?) ",SELECT ?X WHERE { Y dbo:mayor ?X.},"die Bürgermeister von (dbo:City,Y) ",SELECT ?X WHERE { Y dbo:mayor ?X.},,,,,,,,,,,,
Bürgermeister_von_2,noun,masculine,Bürgermeister,-,Bürgermeister,Bürgermeister,Bürgermeisters,von,NounPPFrame,range,domain,1,dbo:leaderName,dbo:City,dbo:Person,feminine,Stadt,Städte,feminine,Person,Personen,,,,,,,,,,,,,,,,,,,,,,
Höhe_von,noun,feminine,Höhe,-,Höhe,Höhe,Höhe,von,NounPPFrame,range,domain,1,dbo:height,dbo:Lighthouse,xsd:integer,masculine,Leuchtturm,Leuchttürme,feminine,-,-,"Was (xsd:integer, X) ist die Höhe von (dbo:Lighthouse,Y?) ",SELECT ?X WHERE { Y dbo:height ?X.},"Welche (xsd:integer, X) ist die Höhe von (dbo:Lighthouse,Y?) ",SELECT ?X WHERE { Y dbo:height ?X.},FALSE,FALSE,"Gib mir die (xsd:integer, X) Höhe von (dbo:Lighthouse,Y?) ",SELECT ?X WHERE { Y dbo:height ?X.},"die Höhe von (dbo:Lighthouse,Y) ",SELECT ?X WHERE { Y dbo:height ?X.},,,,,,,,,,,,
Amtssprache_von,noun,feminine,Amtssprache,Amtssprachen,Amtssprache,Amtssprache,Amtssprache,von,NounPPFrame,range,domain,1,dbo:officialLanguage,dbo:Country,dbo:Language,neuter,Land,Länder,feminine,Sprache,Sprachen,"Was (dbo:Language, X) ist die Amtssprache von (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:officialLanguage ?X.},"Welche (dbo:Language, X) ist die Amtssprache von (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:officialLanguage ?X.},FALSE,FALSE,"Gib mir die (dbo:Language, X) Amtssprache von (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:officialLanguage ?X.},"die Amtssprache von (dbo:Country,Y) ",SELECT ?X WHERE { Y dbo:officialLanguage ?X.},fail for matching problem,,,,,,,,,,,
Gesamteinwohnerzahl_von,noun,feminine,Gesamteinwohnerzahl,-,Gesamteinwohnerzahl,Gesamteinwohnerzahl,Gesamteinwohnerzahl,von,NounPPFrame,range,domain,1,dbo:populationTotal,dbo:Location,xsd:double,feminine,Lage,Lagen,feminine,-,-,"Was (xsd:double, X) ist die Gesamteinwohnerzahl von (dbo:Location,Y?) ",SELECT ?X WHERE { Y dbo:populationTotal ?X.},"Welche (xsd:double, X) ist die Gesamteinwohnerzahl von (dbo:Location,Y?) ",SELECT ?X WHERE { Y dbo:populationTotal ?X.},FALSE,FALSE,"Gib mir die (xsd:double, X) Gesamteinwohnerzahl von (dbo:Location,Y?) ",SELECT ?X WHERE { Y dbo:populationTotal ?X.},"die Gesamteinwohnerzahl von (dbo:Location,Y) ",SELECT ?X WHERE { Y dbo:populationTotal ?X.},,,,,,,,,,,,
Herausgeber_von,noun,masculine,Herausgeber,Herausgeber,Herausgeber,Herausgeber,Herausgebers,von,NounPPFrame,range,domain,1,dbo:editor,dbo:WrittenWork,dbo:Person,neuter,Werk,Werke,feminine,Person,Personen,"Was (dbo:Person, X) ist die Herausgeber von (dbo:WrittenWork,Y?) ",SELECT ?X WHERE { Y dbo:editor ?X.},"Welche (dbo:Person, X) ist die Herausgeber von (dbo:WrittenWork,Y?) ",SELECT ?X WHERE { Y dbo:editor ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Herausgeber von (dbo:WrittenWork,Y?) (X dbo:editor Y)",SELECT ?X WHERE { Y dbo:editor ?X.},"Gib mir die (dbo:Person, X) Herausgeber von (dbo:WrittenWork,Y?) ",SELECT ?X WHERE { Y dbo:editor ?X.},"die Herausgeber von (dbo:WrittenWork,Y) ",SELECT ?X WHERE { Y dbo:editor ?X.},,,,,,,,,,,,
kinder_von,noun,neuter,Kind,Kinder,Kinder,Kinder,Kindes,von,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,masculine,Person,Personen,masculine,Person,Personen,"Was (dbo:Person, X) ist die Kind von (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"Welche (dbo:Person, X) ist die Kind von (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Kind von (dbo:Person,Y?) (X dbo:child Y)",SELECT ?X WHERE { Y dbo:child ?X.},"Gib mir die (dbo:Person, X) Kind von (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"die Kind von (dbo:Person,Y) ",SELECT ?X WHERE { Y dbo:child ?X.},,,,,,,,,,,,
Bandmitglieder_von,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitgliederes,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Band,dbo:Person,neuter,Band,Bande,feminine,Person,Personen,"Was (dbo:Person, X) ist die Bandmitglieder von (dbo:Band,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:Person, X) ist die Bandmitglieder von (dbo:Band,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Bandmitglieder von (dbo:Band,Y?) (X dbo:bandMember Y)",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Gib mir die (dbo:Person, X) Bandmitglieder von (dbo:Band,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Band,Y) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},,,,,,,,,,,,
Frau_von,noun,feminine,Frau,Frauen,Frau,Frau,Frau,von,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,masculine,Person,Personen,feminine,dbo:Person,Personen,"Was (dbo:Person, X) ist die Frau von (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:spouse ?X.},"Welche (dbo:Person, X) ist die Frau von (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:spouse ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Frau von (dbo:Person,Y?) (X dbo:spouse Y)",SELECT ?X WHERE { Y dbo:spouse ?X.},"Gib mir die (dbo:Person, X) Frau von (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:spouse ?X.},"die Frau von (dbo:Person,Y) ",SELECT ?X WHERE { Y dbo:spouse ?X.},,,,,,,,,,,,
